,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,NAME,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_011E,B01001_011M,B01001_012E,B01001_012M,B01001_013E,B01001_013M,B01001_014E,B01001_014M,B01001_015E,B01001_015M,B01001_016E,B01001_016M,B01001_017E,B01001_017M,B01001_018E,B01001_018M,B01001_019E,B01001_019M,B01001_020E,B01001_020M,B01001_021E,B01001_021M,B01001_022E,B01001_022M,B01001_023E,B01001_023M,B01001_024E,B01001_024M,B01001_025E,B01001_025M,zip code tabulation area
26,ZCTA5 01752,1701,365,1099,232,880,323,654,193,448,163,298,127,96,71,806,239,1329,249,1581,322,1150,209,1628,323,1709,294,1561,296,1295,239,486,169,618,147,211,96,303,117,499,146,443,120,353,171,215,93,01752
27,ZCTA5 01801,1172,244,893,237,1097,220,711,173,282,120,234,117,151,66,632,177,1731,330,1636,239,1547,260,1371,207,1395,249,1555,259,1347,215,416,115,591,150,380,146,412,141,476,125,413,131,350,99,308,107,01801
28,ZCTA5 01826,822,223,1239,209,1065,254,793,183,340,134,255,115,158,85,430,145,816,197,1161,247,772,145,1066,228,1204,217,1172,236,1118,250,451,136,621,184,238,87,242,106,462,138,354,95,144,66,168,80,01826
29,ZCTA5 01830,916,231,766,178,700,169,469,134,341,132,80,56,214,106,443,138,1107,216,1071,240,744,169,958,204,902,192,991,195,959,155,273,126,444,132,310,111,213,86,155,68,191,94,253,83,261,87,01830
30,ZCTA5 01840,269,113,75,51,129,64,121,51,28,28,9,13,0,12,105,56,136,86,130,74,212,84,129,66,224,84,71,50,78,46,36,31,99,53,54,34,42,31,35,28,82,53,36,33,44,38,01840
31,ZCTA5 01844,1634,339,1506,231,1853,288,1051,192,813,176,405,124,259,126,678,153,1216,234,1262,229,1636,255,1725,251,1754,206,1812,214,1760,255,490,116,808,154,477,120,531,148,581,130,428,124,356,98,270,80,01844
32,ZCTA5 01852,1210,260,828,160,819,187,765,177,375,139,334,141,208,91,552,178,1611,314,1414,286,1165,194,1123,237,1305,232,1307,229,1110,221,333,103,440,139,319,110,378,113,271,96,471,130,142,53,142,80,01852
33,ZCTA5 02119,897,224,836,238,679,173,660,184,362,135,290,153,182,112,787,269,1015,230,540,142,620,163,667,195,932,239,732,179,552,144,188,71,298,114,223,102,141,74,471,130,264,100,103,58,39,41,02119
34,ZCTA5 02121,1034,241,1195,284,1240,272,599,148,497,146,328,125,191,102,571,198,946,248,756,208,459,141,647,157,679,186,639,168,795,201,330,133,405,111,75,52,289,108,232,102,190,91,126,69,115,74,02121
35,ZCTA5 02122,771,196,584,207,825,253,461,188,304,148,215,104,464,203,583,203,987,243,1200,252,762,219,699,222,1037,222,717,172,758,204,255,107,364,143,107,74,209,91,171,72,149,79,86,45,93,64,02122
36,ZCTA5 02124,1835,274,2128,343,1963,405,1281,264,678,172,174,82,506,224,1132,297,1690,359,1614,357,1709,280,1653,291,1972,355,1681,308,1401,261,322,109,544,131,239,91,459,136,565,155,243,94,254,96,174,81,02124
37,ZCTA5 02125,1125,226,924,212,829,191,779,172,516,163,231,112,496,156,1771,352,2244,394,1354,207,1256,229,1089,263,947,230,914,184,896,189,323,114,398,135,172,71,145,60,269,85,311,93,58,43,116,64,02125
38,ZCTA5 02126,621,197,983,270,1025,257,753,177,331,157,167,118,230,134,604,241,986,251,685,217,649,204,943,224,1009,224,605,166,681,178,252,105,294,132,233,102,267,101,562,157,324,131,78,45,105,64,02126
