_pageUrl,_position,income,b190,description
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,34,employment_male_sales_and_related_occupations,C24010_028E,"Number of employed male 'Sales and related occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,35,employment_male_office_and_administrative_support_occupations,C24010_029E,"Number of employed male 'Office and administrative support occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,36,employment_male_natural_resources_construction_and_maintenance_occupations,C24010_030E,"Number of employed male 'Natural resources, construction, and maintenance 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,37,employment_male_farming_fishing_and_forestry_occupations,C24010_031E,"Number of employed male 'Farming, fishing, and forestry occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,38,employment_male_construction_and_extraction_occupations,C24010_032E,"Number of employed male 'Construction and extraction occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,39,employment_male_installation_maintenance_and_repair_occupations,C24010_033E,"Number of employed male 'Installation, maintenance, and repair occupations' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,40,employment_male_production_transportation_and_material_moving_occupations,C24010_034E,"Number of employed male 'Production, transportation, and material moving 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,41,employment_male_production_occupations,C24010_035E,"Number of employed male 'Production occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,42,employment_male_transportation_occupations,C24010_036E,"Number of employed male 'Transportation occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,43,employment_male_material_moving_occupations,C24010_037E,"Number of employed male 'Material moving occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,44,employment_female_management_business_science_and_arts_occupations,C24010_039E,"Number of employed female 'Management, business, science, and arts 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,45,employment_female_management_business_and_financial_occupations,C24010_040E,"Number of employed female 'Management, business, and financial 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,46,employment_female_management_occupations,C24010_041E,"Number of employed female 'Management occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,47,employment_female_business_and_financial_operations_occupations,C24010_042E,"Number of employed female 'Business and financial operations occupations' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,48,employment_female_computer_engineering_and_science_occupations,C24010_043E,"Number of employed female 'Computer, engineering, and science occupations:' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,49,employment_female_computer_and_mathematical_occupations,C24010_044E,"Number of employed female 'Computer and mathematical occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,50,employment_female_architecture_and_engineering_occupations,C24010_045E,"Number of employed female 'Architecture and engineering occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,51,employment_female_life_physical_and_social_science_occupations,C24010_046E,"Number of employed female 'Life, physical, and social science occupations' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,52,employment_female_education_legal_community_service_arts_and_media_occupations,C24010_047E,"Number of employed female 'Education, legal, community service, arts, and 
media occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,53,employment_female_community_and_social_service_occupations,C24010_048E,"Number of employed female 'Community and social service occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,54,employment_female_legal_occupations,C24010_049E,"Number of employed female 'Legal occupations' for the civilian population 
age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,55,employment_female_education_training_and_library_occupations,C24010_050E,"Number of employed female 'Education, training, and library occupations' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,56,employment_female_arts_design_entertainment_sports_and_media_occupations,C24010_051E,"Number of employed female 'Arts, design, entertainment, sports, and media 
occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,57,employment_female_healthcare_practitioners_and_technical_occupations,C24010_052E,"Number of employed female 'Healthcare practitioners and technical 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,58,employment_female_health_diagnosing_and_treating_practitioners_and_other_technical_occupations,C24010_053E,"Number of employed female 'Health diagnosing and treating practitioners and 
other technical occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,59,employment_female_health_technologists_and_technicians,C24010_054E,"Number of employed female 'Health technologists and technicians' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,60,employment_female_service_occupations,C24010_055E,"Number of employed female 'Service occupations:' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,61,employment_female_healthcare_support_occupations,C24010_056E,"Number of employed female 'Healthcare support occupations' for the civilian 
population age 16 and over"
